Notes,State,State Code,Year,Year Code,Diabetes,Diabetes Code,Tobacco Use,Tobacco Use Code,Births
,Illinois,17,2015,2015,Yes,1,Yes,1,714
,Illinois,17,2015,2015,Yes,1,No,2,11016
,Illinois,17,2015,2015,No,2,Yes,1,9628
,Illinois,17,2015,2015,No,2,No,2,136015
,Indiana,18,2007,2007,Yes,1,Yes,1,839
,Indiana,18,2007,2007,Yes,1,No,2,4033
,Indiana,18,2007,2007,No,2,Yes,1,15897
,Indiana,18,2007,2007,No,2,No,2,68333
,Indiana,18,2008,2008,Yes,1,Yes,1,762
,Indiana,18,2008,2008,Yes,1,No,2,3841
,Indiana,18,2008,2008,No,2,Yes,1,15610
,Indiana,18,2008,2008,No,2,No,2,67820
,Indiana,18,2009,2009,Yes,1,Yes,1,816
,Indiana,18,2009,2009,Yes,1,No,2,4087
,Indiana,18,2009,2009,No,2,Yes,1,14953
,Indiana,18,2009,2009,No,2,No,2,66130
,Indiana,18,2010,2010,Yes,1,Yes,1,850
,Indiana,18,2010,2010,Yes,1,No,2,4201
,Indiana,18,2010,2010,No,2,Yes,1,13543
,Indiana,18,2010,2010,No,2,No,2,65150
,Indiana,18,2011,2011,Yes,1,Yes,1,868
,Indiana,18,2011,2011,Yes,1,No,2,4836
,Indiana,18,2011,2011,No,2,Yes,1,13031
,Indiana,18,2011,2011,No,2,No,2,64792
,Indiana,18,2012,2012,Yes,1,Yes,1,862
,Indiana,18,2012,2012,Yes,1,No,2,4669
,Indiana,18,2012,2012,No,2,Yes,1,12893
,Indiana,18,2012,2012,No,2,No,2,64674
,Indiana,18,2013,2013,Yes,1,Yes,1,827
,Indiana,18,2013,2013,Yes,1,No,2,4296
,Indiana,18,2013,2013,No,2,Yes,1,12203
,Indiana,18,2013,2013,No,2,No,2,65669
,Indiana,18,2014,2014,Yes,1,Yes,1,735
,Indiana,18,2014,2014,Yes,1,No,2,4482
,Indiana,18,2014,2014,No,2,Yes,1,11937
,Indiana,18,2014,2014,No,2,No,2,66888
,Indiana,18,2015,2015,Yes,1,Yes,1,758
,Indiana,18,2015,2015,Yes,1,No,2,4628
,Indiana,18,2015,2015,No,2,Yes,1,11256
,Indiana,18,2015,2015,No,2,No,2,67366
,Iowa,19,2007,2007,Yes,1,Yes,1,437
,Iowa,19,2007,2007,Yes,1,No,2,1864
,Iowa,19,2007,2007,No,2,Yes,1,7177
,Iowa,19,2007,2007,No,2,No,2,30738
,Iowa,19,2008,2008,Yes,1,Yes,1,398
,Iowa,19,2008,2008,Yes,1,No,2,1827
,Iowa,19,2008,2008,No,2,Yes,1,6805
,Iowa,19,2008,2008,No,2,No,2,30570
,Iowa,19,2009,2009,Yes,1,Yes,1,421
,Iowa,19,2009,2009,Yes,1,No,2,1882
,Iowa,19,2009,2009,No,2,Yes,1,6205
,Iowa,19,2009,2009,No,2,No,2,30525
,Iowa,19,2010,2010,Yes,1,Yes,1,446
,Iowa,19,2010,2010,Yes,1,No,2,2001
,Iowa,19,2010,2010,No,2,Yes,1,5843
,Iowa,19,2010,2010,No,2,No,2,30048
,Iowa,19,2011,2011,Yes,1,Yes,1,413
,Iowa,19,2011,2011,Yes,1,No,2,2215
,Iowa,19,2011,2011,No,2,Yes,1,5588
,Iowa,19,2011,2011,No,2,No,2,29919
,Iowa,19,2012,2012,Yes,1,Yes,1,410
,Iowa,19,2012,2012,Yes,1,No,2,2367
